Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.259499444,6.91E-47,0.303565276,0.036144578,0.832669323,0,0.011173184,0.976145596,4.23E-32,0.810193686,51,8.58E-14,1.26E-13,447865.6026,87.23398789,-137.6511407,19.44462925,4.6,9.8,3,0,-1,2
0.261234705,8.21E-47,0.303492282,0.120481928,0.860557769,0,0.022346369,0.993804854,3.03E-32,0.841647147,52,1.17E-13,1.39E-13,447862.21,87.34590429,-149.695635,20.19950037,5.9,13.1,10,7,-1,4
0.26134594,7.41E-47,0.304011042,0.120481928,0.864541833,0,0.022346369,0.993963615,1.87E-32,0.874350979,53,1.19E-13,1.31E-13,447886.3208,87.34691045,-161.2900118,20.98437991,6.3,13.9,10,8,-1,4
0.261735261,7.61E-47,0.306416578,0.204819277,0.84063745,0,0.033519553,0.976853808,6.53E-33,0.905614747,54,1.26E-13,1.33E-13,447998.1247,87.23847622,-173.4028139,21.73469846,5.3,13.5,17,2,-1,6
0.261624027,8.41E-47,0.305933422,0.204819277,0.828685259,0,0.033519553,0.986617546,3.14E-31,0.824465819,55,1.24E-13,1.41E-13,447975.6687,87.30035438,134.1413937,19.78715502,5.9,13,17,-1,-1,6
0.260901001,1.09E-46,0.303582321,0.240963855,0.892430279,0,0.039106145,0.99627688,3.03E-31,0.856777718,56,1.11E-13,1.66E-13,447866.3948,87.36157088,122.4058887,20.56262832,5.9,27.7,20,15,-1,7
0.261957731,1.06E-46,0.302200778,0.240963855,0.868525896,0,0.039106145,0.988069309,2.91E-31,0.889338429,57,1.30E-13,1.63E-13,447802.1838,87.309555,110.7599423,21.34407301,7.6,24,20,9,-1,7
0.261401557,1.08E-46,0.300212151,0.361445783,0.880478088,0,0.083798883,0.976194632,2.39E-31,0.808437632,58,1.20E-13,1.65E-13,447709.7569,87.23429866,58.39345071,19.40248462,6.9,27.4,30,12,-1,15
0.261679644,1.15E-46,0.299649936,0.361445783,0.852589641,0,0.083798883,0.994097737,2.27E-31,0.839994073,59,1.25E-13,1.72E-13,447683.6264,87.34776045,46.38595325,20.15982723,9.5,36.2,30,5,-1,15
0.268631813,1.42E-46,0.302742887,0.325301205,0.80876494,0,0.067039106,0.994199798,2.15E-31,0.872794473,60,2.50E-13,1.99E-13,447827.3798,87.34840727,34.82626662,20.94702436,4.2,31.3,27,-6,-1,12
